N,r^2,miss.y,ry^2,conver.rate,MAR.conver.rate,beta0.ab.mean.complete,beta0.rb.mean.complete,mar.beta0.ab.mean,mar.beta0.rb.mean,mar.beta0.ab.mode,mar.beta0.rb.mode,beta0.ab.mean,beta0.rb.mean,beta0.ab.mode,beta0.rb.mode,mar.beta0.coverage.ci,mar.beta0.coverage.hdi,beta0.coverage.ci,beta0.coverage.hdi,beta1.ab.mean.complete,beta1.rb.mean.complete,mar.beta1.ab.mean,mar.beta1.rb.mean,mar.beta1.ab.mode,mar.beta1.rb.mode,beta1.ab.mean,beta1.rb.mean,beta1.ab.mode,beta1.rb.mode,mar.beta1.coverage.ci,mar.beta1.coverage.hdi,beta1.coverage.ci,beta1.coverage.hdi,beta2.ab.mean.complete,beta2.rb.mean.complete,mar.beta2.ab.mean,mar.beta2.rb.mean,mar.beta2.ab.mode,mar.beta2.rb.mode,beta2.ab.mean,beta2.rb.mean,beta2.ab.mode,beta2.rb.mode,mar.beta2.coverage.ci,mar.beta2.coverage.hdi,beta2.coverage.ci,beta2.coverage.hdi,beta3.ab.mean.complete,beta3.rb.mean.complete,mar.beta3.ab.mean,mar.beta3.rb.mean,mar.beta3.ab.mode,mar.beta3.rb.mode,beta3.ab.mean,beta3.rb.mean,beta3.ab.mode,beta3.rb.mode,mar.beta3.coverage.ci,mar.beta3.coverage.hdi,beta3.coverage.ci,beta3.coverage.hdi,var.ab.mean.complete,var.rb.mean.complete,mar.var.ab.mean,mar.var.rb.mean,mar.var.ab.mode,mar.var.rb.mode,var.ab.mean,var.rb.mean,var.ab.mode,var.rb.mode,mar.var.coverage.ci,mar.var.coverage.hdi,var.coverage.ci,var.coverage.hdi,gamma0.ab.mean,gamma0.rb.mean,gamma0.ab.mode,gamma0.rb.mode,mar.gamma0.coverage.ci,mar.gamma0.coverage.hdi,gamma1.ab.mean,gamma1.rb.mean,gamma1.ab.mode,gamma1.rb.mode,mar.gamma1.coverage.ci,mar.gamma1.coverage.hdi
50,0.02,0.1,0.1,0.959,1,-0.002399737,-0.000482105,-0.193710513,-0.03891627,-0.192133385,-0.038599426,-0.53230198,-0.106938994,-0.532157491,-0.106909967,0.929,0.956,0.866527633,0.916579771,-0.032215971,-0.032215971,-0.061617276,-0.061617276,-0.045061934,-0.045061934,-0.076361451,-0.076361451,-0.079892901,-0.079892901,0.958,0.977,0.954118874,0.980187696,0.053842367,0.053842367,-0.016040989,-0.016040989,-0.012264247,-0.012264247,-0.024381402,-0.024381402,-0.015096529,-0.015096529,0.955,0.979,0.946819604,0.979144943,0.10869836,0.10869836,0.193852602,0.193852602,0.15518349,0.15518349,0.22288705,0.22288705,0.250440673,0.250440673,0.946,0.973,0.938477581,0.969760167,0.018705624,0.001908737,-0.224877027,-0.022946635,-1.047539271,-0.106891762,2.773878241,0.2830488,1.392017452,0.142042597,0.932,0.95,0.889468196,0.962460897,-0.324439753,0.172574337,0.567451906,-0.30183612,0.971845673,0.984358707,-1.168728622,-11.07799642,-1.011813503,-9.590649318,0.668404588,0.708029197
50,0.13,0.1,0.1,0.96,1,0.000639252,0.000131192,-0.172446053,-0.035390536,-0.173504645,-0.035607788,-0.368443829,-0.075614515,-0.362207431,-0.07433464,0.932,0.96,0.884375,0.921875,-0.010872129,-0.010872129,-0.042881154,-0.042881154,-0.04227448,-0.04227448,-0.042623255,-0.042623255,-0.040297087,-0.040297087,0.954,0.974,0.952083333,0.976041667,0.009074393,0.009074393,-0.0244949,-0.0244949,-0.025118796,-0.025118796,-0.043414624,-0.043414624,-0.035676032,-0.035676032,0.953,0.975,0.953125,0.969791667,0.029551335,0.029551335,0.006985995,0.006985995,0.006904512,0.006904512,0.01595022,0.01595022,0.016910543,0.016910543,0.951,0.973,0.935416667,0.966666667,0.032297834,0.003712395,-0.175911573,-0.020219721,-0.895722271,-0.102956583,2.20840372,0.253839508,0.958411315,0.11016222,0.933,0.952,0.895833333,0.963541667,-0.415397222,0.220955969,0.364313888,-0.193783983,0.96875,0.986458333,-0.965847929,-9.154956669,-0.821608595,-7.787759193,0.714583333,0.7625
50,0.26,0.1,0.1,0.967,1,0.006401038,0.001341264,-0.143562229,-0.030081808,-0.141097435,-0.029565339,-0.227037615,-0.047573111,-0.220922235,-0.046291704,0.937,0.963,0.915201655,0.947259566,-0.007365453,-0.007365453,-0.037091687,-0.037091687,-0.040505974,-0.040505974,-0.015318461,-0.015318461,-0.010259898,-0.010259898,0.956,0.971,0.945191313,0.972078594,0.013369369,0.013369369,-0.020177744,-0.020177744,-0.022265029,-0.022265029,-0.012448206,-0.012448206,-0.011627086,-0.011627086,0.949,0.976,0.950361944,0.97311272,0.014414467,0.014414467,-0.009718348,-0.009718348,-0.010370867,-0.010370867,0.01301493,0.01301493,0.015283686,0.015283686,0.95,0.979,0.929679421,0.960703206,0.009095641,0.001229141,-0.115053484,-0.015547768,-0.731010049,-0.098785142,1.522179028,0.205699869,0.478035974,0.064599456,0.935,0.957,0.910031024,0.960703206,-0.412652575,0.21949605,0.191952042,-0.10210215,0.955532575,0.977249224,-0.720190886,-6.826453899,-0.620690006,-5.883317595,0.767321613,0.819027921
50,0.02,0.2,0.1,0.962,1,-0.001396543,-0.000280564,-0.337936762,-0.067891195,-0.338060569,-0.067916068,-0.848560101,-0.17047497,-0.841572278,-0.169071122,0.903,0.945,0.760914761,0.818087318,-0.03701251,-0.03701251,-0.103377135,-0.103377135,-0.097280912,-0.097280912,-0.122387072,-0.122387072,-0.11352177,-0.11352177,0.946,0.975,0.941787942,0.967775468,0.033299356,0.033299356,-0.05072074,-0.05072074,-0.054375561,-0.054375561,-0.065456969,-0.065456969,-0.052444274,-0.052444274,0.95,0.978,0.956340956,0.983367983,0.113218936,0.113218936,0.016660881,0.016660881,0.010239483,0.010239483,-0.146741795,-0.146741795,-0.078206103,-0.078206103,0.942,0.971,0.946985447,0.972972973,0.014442949,0.00147377,-0.311018324,-0.031736564,-1.222506129,-0.124745523,4.892338916,0.499218257,2.643944619,0.269790267,0.925,0.943,0.816008316,0.927234927,-0.36057642,0.254824325,0.507507014,-0.358662201,0.955301455,0.974012474,-0.933092257,-8.844476365,-0.794437982,-7.530217835,0.719334719,0.760914761
50,0.13,0.2,0.1,0.972,1,0.002448551,0.000502508,-0.297497376,-0.061054408,-0.297974676,-0.061152363,-0.523166359,-0.107367711,-0.496951239,-0.101987668,0.915,0.941,0.813786008,0.868312757,-0.014126634,-0.014126634,-0.055371529,-0.055371529,-0.048123151,-0.048123151,-0.05156796,-0.05156796,-0.039071706,-0.039071706,0.949,0.977,0.942386831,0.96399177,0.012468314,0.012468314,-0.040717385,-0.040717385,-0.041983516,-0.041983516,-0.061950465,-0.061950465,-0.047189629,-0.047189629,0.949,0.974,0.939300412,0.969135802,0.019587129,0.019587129,-0.041110872,-0.041110872,-0.046223158,-0.046223158,-0.109738809,-0.109738809,-0.096300728,-0.096300728,0.948,0.973,0.939300412,0.965020576,0.031640875,0.003636882,-0.261562895,-0.030064701,-1.062994711,-0.1221833,3.658310907,0.420495507,1.630691965,0.187435858,0.919,0.944,0.861111111,0.934156379,-0.433072162,0.306058065,0.285216084,-0.201566137,0.941358025,0.968106996,-0.683535475,-6.479009237,-0.553084573,-5.242507805,0.755144033,0.810699588
50,0.26,0.2,0.1,0.983,1,0.001964913,0.000411725,-0.247933555,-0.051951614,-0.24716818,-0.051791239,-0.285108995,-0.059741299,-0.262841181,-0.055075335,0.921,0.945,0.86775178,0.900305188,-0.005326772,-0.005326772,-0.048173583,-0.048173583,-0.046521656,-0.046521656,-0.029769374,-0.029769374,-0.026174432,-0.026174432,0.953,0.974,0.9491353,0.967446592,0.006634624,0.006634624,-0.039429935,-0.039429935,-0.041136909,-0.041136909,-0.036579803,-0.036579803,-0.030717464,-0.030717464,0.948,0.976,0.945066124,0.976602238,0.014493574,0.014493574,-0.036503918,-0.036503918,-0.031903689,-0.031903689,-0.047684733,-0.047684733,-0.039172412,-0.039172412,0.953,0.975,0.932858596,0.966429298,0.016239272,0.002194496,-0.16711697,-0.022583374,-0.856636763,-0.115761725,2.409795694,0.325648067,0.799722475,0.108070605,0.927,0.95,0.881993896,0.94404883,-0.403757679,0.285341116,0.164556705,-0.116294491,0.915564598,0.960325534,-0.440049083,-4.17108136,-0.35145564,-3.33133308,0.815869786,0.868769074
50,0.02,0.4,0.1,0.971,1,0.00394376,0.000792298,-0.629726396,-0.126511473,-0.628701786,-0.12630563,-1.620914493,-0.32564028,-1.62061633,-0.32558038,0.827,0.881,0.754891864,0.772399588,-0.040145654,-0.040145654,-0.039216693,-0.039216693,-0.056009566,-0.056009566,-0.134698733,-0.134698733,-0.109684406,-0.109684406,0.945,0.966,0.945417096,0.972193615,0.028720117,0.028720117,-0.062383327,-0.062383327,-0.09036831,-0.09036831,-0.158852275,-0.158852275,-0.131789539,-0.131789539,0.952,0.973,0.961894954,0.979402678,0.125399211,0.125399211,0.099135094,0.099135094,0.115988258,0.115988258,-0.362169204,-0.362169204,-0.230843586,-0.230843586,0.951,0.971,0.954685891,0.979402678,0.017376239,0.001773086,-0.460423246,-0.046981964,-1.663924072,-0.169788171,10.03426197,1.023904282,4.993915899,0.509583255,0.935,0.947,0.751802266,0.89392379,-0.528832299,0.66519786,0.318989734,-0.401244948,0.955715757,0.972193615,-0.809145422,-7.669624848,-0.667587669,-6.327845204,0.748712667,0.776519053
50,0.13,0.4,0.1,0.977,1,-6.16E-05,-1.26E-05,-0.549559466,-0.112784282,-0.547540887,-0.112370016,-1.109010789,-0.227598637,-1.04140147,-0.213723399,0.844,0.905,0.745138178,0.790174002,-0.012954687,-0.012954687,-0.049943012,-0.049943012,-0.054145883,-0.054145883,-0.105237873,-0.105237873,-0.091745794,-0.091745794,0.946,0.973,0.935516888,0.966223132,0.01335137,0.01335137,-0.058628831,-0.058628831,-0.063677052,-0.063677052,-0.125395936,-0.125395936,-0.087050505,-0.087050505,0.942,0.972,0.93654043,0.966223132,0.023075268,0.023075268,-0.039355301,-0.039355301,-0.043866367,-0.043866367,-0.173199537,-0.173199537,-0.137958227,-0.137958227,0.947,0.976,0.935516888,0.968270215,0.015136178,0.001739791,-0.295916096,-0.034013344,-1.386189034,-0.159332073,8.060023435,0.926439475,3.554482391,0.408561194,0.932,0.941,0.792221085,0.915046059,-0.510033621,0.641551724,0.170978352,-0.215067109,0.919140225,0.949846469,-0.628472625,-5.957086496,-0.489325199,-4.638153545,0.742067554,0.796315251
50,0.26,0.4,0.1,0.975,1,0.002253675,0.000472231,-0.478476196,-0.100259163,-0.480460747,-0.100675003,-0.615622201,-0.128996525,-0.595461205,-0.124772021,0.856,0.913,0.818461538,0.860512821,-0.004845563,-0.004845563,-0.03396866,-0.03396866,-0.038205916,-0.038205916,-0.080280665,-0.080280665,-0.065040897,-0.065040897,0.94,0.967,0.934358974,0.963076923,0.007005094,0.007005094,-0.038301504,-0.038301504,-0.039431066,-0.039431066,-0.107889386,-0.107889386,-0.081048167,-0.081048167,0.948,0.971,0.929230769,0.958974359,0.011687218,0.011687218,-0.007655393,-0.007655393,-0.012235041,-0.012235041,-0.054133544,-0.054133544,-0.03200557,-0.03200557,0.939,0.97,0.93025641,0.967179487,0.008411254,0.001136656,-0.226471805,-0.030604298,-1.160653309,-0.156845042,5.431005453,0.733919656,1.929415399,0.260731811,0.929,0.947,0.837948718,0.928205128,-0.45040582,0.566548201,0.10687765,-0.134437295,0.916923077,0.962051282,-0.441747975,-4.187184594,-0.335306883,-3.178264292,0.817435897,0.876923077
50,0.02,0.1,0.25,0.964,1,-0.001029322,-0.00020679,-0.294191971,-0.059102905,-0.294678741,-0.059200697,-0.591615083,-0.118854944,-0.587662365,-0.118060847,0.907,0.944,0.835062241,0.895228216,-0.023923435,-0.023923435,-0.097531895,-0.097531895,-0.096772635,-0.096772635,-0.125918916,-0.125918916,-0.121903291,-0.121903291,0.955,0.977,0.950207469,0.976141079,0.051338004,0.051338004,-0.069033974,-0.069033974,-0.070089048,-0.070089048,-0.088306282,-0.088306282,-0.072861761,-0.072861761,0.951,0.971,0.949170124,0.975103734,0.115308551,0.115308551,0.010139234,0.010139234,-0.03144721,-0.03144721,0.044897729,0.044897729,0.102929866,0.102929866,0.94,0.97,0.936721992,0.96473029,0.035903169,0.003663589,-0.591542221,-0.060361451,-1.378869814,-0.140701001,2.262094437,0.230825963,0.929354535,0.094832095,0.913,0.934,0.915975104,0.970954357,0.12538525,-0.052462448,1.042611872,-0.436239277,0.954356846,0.965767635,-1.152404134,-6.318005123,-1.001826355,-5.49246905,0.665975104,0.71473029
