N,r^2,miss.y,ry^2,miss.x1,rx1^2,conver.rate,MAR.conver.rate,beta0.ab.mean.complete,beta0.rb.mean.complete,mar.beta0.ab.mean,mar.beta0.rb.mean,mar.beta0.ab.mode,mar.beta0.rb.mode,beta0.ab.mean,beta0.rb.mean,beta0.ab.mode,beta0.rb.mode,mar.beta0.coverage.ci,mar.beta0.coverage.hdi,beta0.coverage.ci,beta0.coverage.hdi,beta1.ab.mean.complete,beta1.rb.mean.complete,mar.beta1.ab.mean,mar.beta1.rb.mean,mar.beta1.ab.mode,mar.beta1.rb.mode,beta1.ab.mean,beta1.rb.mean,beta1.ab.mode,beta1.rb.mode,mar.beta1.coverage.ci,mar.beta1.coverage.hdi,beta1.coverage.ci,beta1.coverage.hdi,beta2.ab.mean.complete,beta2.rb.mean.complete,mar.beta2.ab.mean,mar.beta2.rb.mean,mar.beta2.ab.mode,mar.beta2.rb.mode,beta2.ab.mean,beta2.rb.mean,beta2.ab.mode,beta2.rb.mode,mar.beta2.coverage.ci,mar.beta2.coverage.hdi,beta2.coverage.ci,beta2.coverage.hdi,beta3.ab.mean.complete,beta3.rb.mean.complete,mar.beta3.ab.mean,mar.beta3.rb.mean,mar.beta3.ab.mode,mar.beta3.rb.mode,beta3.ab.mean,beta3.rb.mean,beta3.ab.mode,beta3.rb.mode,mar.beta3.coverage.ci,mar.beta3.coverage.hdi,beta3.coverage.ci,beta3.coverage.hdi,var.ab.mean.complete,var.rb.mean.complete,mar.var.ab.mean,mar.var.rb.mean,mar.var.ab.mode,mar.var.rb.mode,var.ab.mean,var.rb.mean,var.ab.mode,var.rb.mode,mar.var.coverage.ci,mar.var.coverage.hdi,var.coverage.ci,var.coverage.hdi,gamma0.ab.mean,gamma0.rb.mean,gamma0.ab.mode,gamma0.rb.mode,mar.gamma0.coverage.ci,mar.gamma0.coverage.hdi,gamma1.ab.mean,gamma1.rb.mean,gamma1.ab.mode,gamma1.rb.mode,mar.gamma1.coverage.ci,mar.gamma1.coverage.hdi,psi0.ab.mean.complete,mar.psi0.ab.mean,mar.psi0.ab.mode,psi0.ab.mean,psi0.ab.mode,mar.psi0.coverage.ci,mar.psi0.coverage.hdi,psi0.coverage.ci,psi0.coverage.hdi,psi1.ab.mean.complete,psi1.rb.mean.complete,mar.psi1.ab.mean,mar.psi1.rb.mean,mar.psi1.ab.mode,mar.psi1.rb.mode,psi1.ab.mean,psi1.rb.mean,psi1.ab.mode,psi1.rb.mode,mar.psi1.coverage.ci,mar.psi1.coverage.hdi,psi1.coverage.ci,psi1.coverage.hdi,varx.ab.mean.complete,varx.rb.mean.complete,mar.varx.ab.mean,mar.varx.rb.mean,mar.varx.ab.mode,mar.varx.rb.mode,varx.ab.mean,varx.rb.mean,varx.ab.mode,varx.rb.mode,mar.varx.coverage.ci,mar.varx.coverage.hdi,varx.coverage.ci,varx.coverage.hdi
50,0.13,0.1,0.1,0.1,0.1,0.945,1,-0.000447412,-9.18E-05,-0.16325111,-0.033503488,-0.161809347,-0.0332076,-0.363763398,-0.074653966,-0.356236609,-0.073109268,0.933,0.968,0.893121693,0.929100529,-0.011423546,-0.011423546,-0.059055872,-0.059055872,-0.047528874,-0.047528874,-0.03751324,-0.03751324,-0.020087683,-0.020087683,0.95,0.98,0.953439153,0.975661376,0.018600773,0.018600773,-0.014144452,-0.014144452,-0.016255269,-0.016255269,-0.021160534,-0.021160534,-0.015039429,-0.015039429,0.952,0.979,0.947089947,0.969312169,0.012126013,0.012126013,-0.021607034,-0.021607034,-0.014566909,-0.014566909,-0.021530202,-0.021530202,-0.008744167,-0.008744167,0.953,0.973,0.937566138,0.964021164,0.0356095,0.004093046,-0.23649784,-0.02718366,-0.959267276,-0.110260606,2.110784353,0.242618891,0.844865559,0.097110984,0.93,0.951,0.905820106,0.961904762,-0.394173827,0.20966693,0.359451703,-0.191197714,0.972486772,0.982010582,-0.925594413,-8.773406758,-0.807077761,-7.650026168,0.699470899,0.751322751,-0.000858103,-0.001889413,-0.001910633,-0.002117524,-0.002681316,0.966,0.981,0.964021164,0.984126984,-0.003577945,-0.011926482,-0.006652181,-0.022173936,-0.007302486,-0.02434162,-0.007347144,-0.024490481,-0.007546635,-0.025155449,0.968,0.985,0.967195767,0.987301587,0.001186122,0.00307075,0.0476368,0.123326901,0.011985738,0.031029874,0.048126507,0.124594703,0.01229334,0.031826224,0.949,0.984,0.946031746,0.985185185
50,0.13,0.2,0.1,0.1,0.1,0.959,1,9.33E-05,1.91E-05,-0.288533831,-0.059214849,-0.287866737,-0.059077944,-0.544536287,-0.111753391,-0.525491872,-0.107844969,0.912,0.944,0.801876955,0.854014599,-0.015295406,-0.015295406,-0.08405001,-0.08405001,-0.066434587,-0.066434587,-0.085873502,-0.085873502,-0.07297164,-0.07297164,0.946,0.979,0.940563087,0.966631908,0.011014181,0.011014181,-0.02989358,-0.02989358,-0.036895828,-0.036895828,-0.045900029,-0.045900029,-0.043182919,-0.043182919,0.944,0.978,0.939520334,0.971845673,0.027364561,0.027364561,-0.085430521,-0.085430521,-0.073435469,-0.073435469,-0.103461002,-0.103461002,-0.088375825,-0.088375825,0.951,0.975,0.935349322,0.969760167,0.005680418,0.000652922,-0.321136231,-0.03691221,-1.127548614,-0.129603289,3.636785963,0.418021375,1.641623513,0.188692358,0.916,0.935,0.856100104,0.930135558,-0.452946747,0.320103708,0.26924093,-0.190276276,0.934306569,0.966631908,-0.719256123,-6.817593584,-0.595106311,-5.640818113,0.7455683,0.793534932,-0.000613516,-0.001851799,-0.001705805,-0.002294301,-0.001836703,0.967,0.98,0.964546403,0.980187696,-0.004179604,-0.013932013,-0.006642763,-0.022142543,-0.006881058,-0.022936859,-0.00746525,-0.024884167,-0.007756693,-0.025855643,0.966,0.986,0.96350365,0.987486966,0.001676783,0.004341024,0.04759157,0.123209804,0.012235042,0.031675296,0.048875942,0.126534914,0.012631804,0.032702473,0.952,0.985,0.945776851,0.988529718
50,0.13,0.4,0.1,0.1,0.1,0.944,1,-0.001673354,-0.000343417,-0.548132863,-0.112491505,-0.550429815,-0.112962901,-1.167379852,-0.239577528,-1.133364399,-0.232596648,0.849,0.913,0.762711864,0.806144068,-0.017396398,-0.017396398,-0.069282092,-0.069282092,-0.053942489,-0.053942489,-0.17276428,-0.17276428,-0.147087901,-0.147087901,0.95,0.972,0.947033898,0.963983051,0.013234313,0.013234313,-0.061949764,-0.061949764,-0.066629458,-0.066629458,-0.151266248,-0.151266248,-0.117167843,-0.117167843,0.946,0.97,0.947033898,0.965042373,0.018334935,0.018334935,-0.083134876,-0.083134876,-0.082246099,-0.082246099,-0.179518334,-0.179518334,-0.13395661,-0.13395661,0.946,0.974,0.934322034,0.963983051,0.021169371,0.002433261,-0.40237146,-0.046249593,-1.485521688,-0.170749619,7.922894846,0.910677568,3.401694093,0.390999321,0.931,0.938,0.8125,0.919491525,-0.503113028,0.632846576,0.251223981,-0.316005008,0.929025424,0.960805085,-0.634411588,-6.013379985,-0.506687472,-4.80272485,0.759533898,0.814618644,-0.000771496,-0.001744742,-0.001676651,-0.002362271,-0.002328069,0.967,0.979,0.969279661,0.981991525,-0.002909019,-0.009696729,-0.005802236,-0.019340786,-0.006025157,-0.020083857,-0.00599793,-0.0199931,-0.006327476,-0.021091588,0.968,0.987,0.969279661,0.984110169,0.001444591,0.003739901,0.047418931,0.122762859,0.012397988,0.032097148,0.048502931,0.125569228,0.01200402,0.031077205,0.948,0.985,0.947033898,0.981991525
50,0.13,0.1,0.25,0.1,0.1,0.942,1,0.00678049,0.001391538,-0.251404345,-0.051594887,-0.252763609,-0.051873844,-0.353237363,-0.072493742,-0.332549545,-0.068248049,0.909,0.955,0.888535032,0.925690021,-0.005474338,-0.005474338,-0.100206907,-0.100206907,-0.089415731,-0.089415731,-0.071723258,-0.071723258,-0.049636851,-0.049636851,0.95,0.971,0.941613588,0.97133758,0.014276206,0.014276206,-0.063567294,-0.063567294,-0.065444245,-0.065444245,-0.057626227,-0.057626227,-0.054896696,-0.054896696,0.953,0.976,0.94373673,0.968152866,0.018264646,0.018264646,-0.117713118,-0.117713118,-0.12140182,-0.12140182,-0.131337887,-0.131337887,-0.113948908,-0.113948908,0.951,0.967,0.935244161,0.959660297,0.042405402,0.004874184,-0.5509943,-0.063332678,-1.244532148,-0.143049672,1.653512226,0.190058877,0.454812195,0.052277264,0.906,0.929,0.922505308,0.97133758,-0.176928258,0.07402856,0.611425276,-0.255826475,0.969214437,0.977707006,-0.859164747,-4.710333043,-0.728527728,-3.994121318,0.734607219,0.771762208,-0.000455545,-0.0018812,-0.002175052,-0.001696981,-0.001230732,0.965,0.98,0.962845011,0.979830149,-0.002317751,-0.007725838,-0.006626718,-0.022089058,-0.007272466,-0.024241552,-0.006042684,-0.020142279,-0.006379089,-0.02126363,0.969,0.986,0.969214437,0.988322718,0.002029053,0.005253015,0.047597445,0.123225015,0.012088089,0.031294851,0.04877697,0.126278685,0.012635583,0.032712257,0.951,0.983,0.949044586,0.987261146
50,0.13,0.2,0.25,0.1,0.1,0.964,1,-0.001763185,-0.000361853,-0.456457429,-0.093677257,-0.452530551,-0.092871357,-0.583799547,-0.119811261,-0.555726899,-0.114050004,0.847,0.896,0.815352697,0.865145228,-0.007409136,-0.007409136,-0.110663194,-0.110663194,-0.095631543,-0.095631543,-0.102078682,-0.102078682,-0.080637543,-0.080637543,0.949,0.976,0.928423237,0.963692946,0.012539088,0.012539088,-0.077495096,-0.077495096,-0.081250965,-0.081250965,-0.078394645,-0.078394645,-0.065208328,-0.065208328,0.946,0.968,0.936721992,0.969917012,0.02129131,0.02129131,-0.088351756,-0.088351756,-0.072550067,-0.072550067,-0.039525855,-0.039525855,-0.025215483,-0.025215483,0.947,0.972,0.929460581,0.962655602,0.025312972,0.002909537,-0.761019412,-0.087473496,-1.535401132,-0.176482889,2.776506467,0.319138674,0.95060775,0.109265259,0.899,0.911,0.89626556,0.950207469,-0.192160923,0.101996244,0.541293032,-0.287310526,0.93879668,0.961618257,-0.652100036,-3.575109846,-0.530948112,-2.910899734,0.795643154,0.839211618,-7.27E-05,-0.001892789,-0.001934749,-0.00188172,-0.001603349,0.967,0.983,0.96473029,0.982365145,-0.004569581,-0.015231936,-0.006569918,-0.021899728,-0.006898088,-0.022993626,-0.008415343,-0.028051142,-0.008276748,-0.027589161,0.969,0.988,0.967842324,0.987551867,0.000948863,0.00245651,0.047522964,0.12303219,0.012435922,0.032195356,0.047732507,0.123574676,0.011235928,0.029088692,0.95,0.985,0.945020747,0.984439834
50,0.13,0.4,0.25,0.1,0.1,0.959,1,-7.57E-06,-1.55E-06,-0.893546253,-0.183379559,-0.890359575,-0.182725567,-1.214297865,-0.249206357,-1.202916284,-0.246870553,0.628,0.723,0.796663191,0.831074035,-0.015336839,-0.015336839,-0.161454324,-0.161454324,-0.152070148,-0.152070148,-0.237536302,-0.237536302,-0.201193151,-0.201193151,0.936,0.967,0.931178311,0.961418144,0.014869603,0.014869603,-0.148146308,-0.148146308,-0.150163203,-0.150163203,-0.266520769,-0.266520769,-0.241688781,-0.241688781,0.944,0.975,0.932221064,0.959332638,0.023121622,0.023121622,-0.166100664,-0.166100664,-0.150688286,-0.150688286,-0.246042959,-0.246042959,-0.202882395,-0.202882395,0.952,0.971,0.929092805,0.961418144,0.005389378,0.000619469,-1.190851655,-0.136879501,-2.185500513,-0.251206956,6.056052367,0.696097973,2.174594783,0.249953423,0.898,0.914,0.860271116,0.936392075,-0.343425034,0.285473844,0.416450554,-0.346176687,0.946819604,0.965589155,-0.604071699,-3.311796596,-0.467887815,-2.565174427,0.802919708,0.838373306,-0.000187061,-0.001955514,-0.001803071,-0.001448513,-0.001577351,0.967,0.982,0.965589155,0.979144943,-0.005154372,-0.017181241,-0.006280984,-0.020936614,-0.005866962,-0.019556539,-0.007214215,-0.024047382,-0.00693361,-0.023112035,0.967,0.986,0.967674661,0.987486966,0.001167749,0.003023185,0.04739643,0.122704606,0.01233625,0.031937316,0.048154677,0.124667632,0.012130772,0.031405353,0.95,0.984,0.948905109,0.98540146
50,0.13,0.1,0.5,0.1,0.1,0.94,1,-0.002998721,-0.000615418,-0.346428904,-0.071096465,-0.343806112,-0.070558198,-0.397687118,-0.081616019,-0.391588491,-0.080364418,0.882,0.932,0.863829787,0.911702128,-0.008938467,-0.008938467,-0.144247673,-0.144247673,-0.131781497,-0.131781497,-0.113822963,-0.113822963,-0.096739095,-0.096739095,0.937,0.975,0.935106383,0.967021277,0.015970429,0.015970429,-0.126153399,-0.126153399,-0.125928398,-0.125928398,-0.107184515,-0.107184515,-0.103754486,-0.103754486,0.948,0.975,0.937234043,0.964893617,0.030752332,0.030752332,-0.17144336,-0.17144336,-0.170471541,-0.170471541,-0.10362338,-0.10362338,-0.096106665,-0.096106665,0.94,0.966,0.922340426,0.957446809,0.033378118,0.003836565,-1.077121897,-0.123807115,-1.743435645,-0.200394902,0.858843079,0.098717595,-0.236069792,-0.027134459,0.885,0.897,0.944680851,0.974468085,0.608810513,-0.179590122,1.408236895,-0.415409114,0.938297872,0.946808511,-0.854461772,-2.703992948,-0.707898962,-2.24018659,0.784042553,0.817021277,-0.000206709,-0.001949699,-0.002264308,-0.002576879,-0.002712665,0.967,0.984,0.968085106,0.984042553,-0.002212974,-0.007376579,-0.006559801,-0.021866002,-0.006333333,-0.021111109,-0.00620473,-0.020682433,-0.006102367,-0.020341222,0.97,0.987,0.970212766,0.987234043,0.002305647,0.005969089,0.047461934,0.122874191,0.012208984,0.031607836,0.049312083,0.127664039,0.012797461,0.033131345,0.948,0.983,0.95,0.986170213
50,0.13,0.2,0.5,0.1,0.1,0.968,1,0.003400846,0.000697944,-0.661686292,-0.135795702,-0.659312116,-0.135308457,-0.616704823,-0.126564303,-0.597761735,-0.122676675,0.687,0.787,0.828512397,0.864669421,-0.010700649,-0.010700649,-0.236026016,-0.236026016,-0.229880628,-0.229880628,-0.195979988,-0.195979988,-0.178089065,-0.178089065,0.939,0.965,0.938016529,0.963842975,0.010143424,0.010143424,-0.189023293,-0.189023293,-0.192013128,-0.192013128,-0.145528207,-0.145528207,-0.133013675,-0.133013675,0.935,0.97,0.934917355,0.965909091,0.02343386,0.02343386,-0.260832874,-0.260832874,-0.266025066,-0.266025066,-0.200683505,-0.200683505,-0.180280665,-0.180280665,0.942,0.972,0.917355372,0.948347107,0.013672608,0.001571564,-1.645927624,-0.189187083,-2.331471743,-0.267985258,1.454287747,0.167159511,-0.118372437,-0.013606027,0.817,0.838,0.949380165,0.978305785,0.317946127,-0.114781995,1.10520951,-0.398992603,0.931818182,0.943181818,-0.631005129,-1.996851674,-0.496765146,-1.572041602,0.83161157,0.861570248,-0.0004849,-0.002066311,-0.002026648,-0.001836933,-0.002033569,0.967,0.982,0.967975207,0.980371901,-0.004007023,-0.013356744,-0.007054493,-0.023514975,-0.007072283,-0.023574277,-0.006774385,-0.022581283,-0.00656837,-0.021894568,0.963,0.987,0.969008264,0.986570248,0.000866823,0.002244118,0.047534057,0.12306091,0.01216072,0.031482884,0.048022763,0.124326121,0.011828879,0.030623782,0.95,0.986,0.949380165,0.98553719
50,0.13,0.4,0.5,0.1,0.1,0.966,1,-0.001056308,-0.000216783,-1.259813279,-0.258547336,-1.258991069,-0.258378597,-1.159337262,-0.237926974,-1.071864917,-0.219975312,0.313,0.429,0.793995859,0.811594203,-0.011470215,-0.011470215,-0.307616629,-0.307616629,-0.300210969,-0.300210969,-0.328109031,-0.328109031,-0.293816468,-0.293816468,0.938,0.968,0.909937888,0.946169772,0.010932324,0.010932324,-0.295010496,-0.295010496,-0.299218679,-0.299218679,-0.301533886,-0.301533886,-0.287959617,-0.287959617,0.934,0.966,0.902691511,0.946169772,0.018319211,0.018319211,-0.343313148,-0.343313148,-0.340670666,-0.340670666,-0.406996178,-0.406996178,-0.371988065,-0.371988065,0.925,0.96,0.893374741,0.938923395,0.005460287,0.000627619,-2.273132486,-0.261279596,-3.110063392,-0.357478551,3.809875596,0.437916735,0.585110724,0.067254106,0.753,0.77,0.915113872,0.966873706,-0.073194513,0.037748588,0.710371793,-0.366359873,0.930641822,0.945134576,-0.619850382,-1.961551842,-0.482525291,-1.52697877,0.799171843,0.835403727,-0.001295879,-0.002033381,-0.001752797,-0.002640264,-0.002729939,0.968,0.979,0.965838509,0.980331263,-0.00476473,-0.015882434,-0.006271386,-0.020904621,-0.006312991,-0.021043304,-0.006760581,-0.02253527,-0.006614343,-0.022047811,0.965,0.988,0.964803313,0.986542443,0.000683993,0.001770789,0.047422284,0.122771541,0.012449558,0.032230659,0.047618366,0.123279177,0.011563968,0.029937953,0.95,0.987,0.950310559,0.986542443
50,0.13,0.1,0.1,0.2,0.1,0.936,1,-0.004320052,-0.00088659,-0.16254314,-0.033358194,-0.159990697,-0.032834365,-0.380887564,-0.078168302,-0.375868324,-0.07713822,0.934,0.967,0.884615385,0.926282051,-0.014343724,-0.014343724,-0.091130838,-0.091130838,-0.074612197,-0.074612197,-0.080133024,-0.080133024,-0.052682678,-0.052682678,0.946,0.971,0.94017094,0.960470085,0.008040975,0.008040975,-0.002551084,-0.002551084,-0.002797491,-0.002797491,-0.018289808,-0.018289808,-0.01646547,-0.01646547,0.953,0.98,0.950854701,0.97542735,0.029804685,0.029804685,-0.05992807,-0.05992807,-0.041466813,-0.041466813,-0.00978177,-0.00978177,0.011635426,0.011635426,0.95,0.97,0.933760684,0.962606838,0.010130285,0.001164401,-0.325885001,-0.037458046,-1.05948945,-0.121780397,2.000766254,0.229973133,0.752577072,0.086503112,0.931,0.95,0.905982906,0.963675214,-0.417232008,0.221931919,0.362206147,-0.192662844,0.967948718,0.980769231,-0.984077384,-9.32774772,-0.855940812,-8.113183055,0.698717949,0.748931624,-0.001198202,-0.00296617,-0.002983034,-0.004030463,-0.003870788,0.961,0.982,0.960470085,0.981837607,-0.00471198,-0.015706599,-0.008700639,-0.029002129,-0.010208804,-0.034029346,-0.010919433,-0.036398111,-0.011808091,-0.039360302,0.967,0.983,0.960470085,0.982905983,0.000834102,0.002159406,0.054983713,0.142347321,0.015423609,0.039930179,0.055598091,0.143937884,0.015171765,0.039278178,0.953,0.985,0.950854701,0.988247863
