N,r^2,miss.y,ry^2,miss.x1,rx1^2,conver.rate,MAR.conver.rate,beta0.ab.mean.complete,beta0.rb.mean.complete,mar.beta0.ab.mean,mar.beta0.rb.mean,mar.beta0.ab.mode,mar.beta0.rb.mode,beta0.ab.mean,beta0.rb.mean,beta0.ab.mode,beta0.rb.mode,mar.beta0.coverage.ci,mar.beta0.coverage.hdi,beta0.coverage.ci,beta0.coverage.hdi,beta1.ab.mean.complete,beta1.rb.mean.complete,mar.beta1.ab.mean,mar.beta1.rb.mean,mar.beta1.ab.mode,mar.beta1.rb.mode,beta1.ab.mean,beta1.rb.mean,beta1.ab.mode,beta1.rb.mode,mar.beta1.coverage.ci,mar.beta1.coverage.hdi,beta1.coverage.ci,beta1.coverage.hdi,beta2.ab.mean.complete,beta2.rb.mean.complete,mar.beta2.ab.mean,mar.beta2.rb.mean,mar.beta2.ab.mode,mar.beta2.rb.mode,beta2.ab.mean,beta2.rb.mean,beta2.ab.mode,beta2.rb.mode,mar.beta2.coverage.ci,mar.beta2.coverage.hdi,beta2.coverage.ci,beta2.coverage.hdi,beta3.ab.mean.complete,beta3.rb.mean.complete,mar.beta3.ab.mean,mar.beta3.rb.mean,mar.beta3.ab.mode,mar.beta3.rb.mode,beta3.ab.mean,beta3.rb.mean,beta3.ab.mode,beta3.rb.mode,mar.beta3.coverage.ci,mar.beta3.coverage.hdi,beta3.coverage.ci,beta3.coverage.hdi,var.ab.mean.complete,var.rb.mean.complete,mar.var.ab.mean,mar.var.rb.mean,mar.var.ab.mode,mar.var.rb.mode,var.ab.mean,var.rb.mean,var.ab.mode,var.rb.mode,mar.var.coverage.ci,mar.var.coverage.hdi,var.coverage.ci,var.coverage.hdi,gamma0.ab.mean,gamma0.rb.mean,gamma0.ab.mode,gamma0.rb.mode,mar.gamma0.coverage.ci,mar.gamma0.coverage.hdi,gamma1.ab.mean,gamma1.rb.mean,gamma1.ab.mode,gamma1.rb.mode,mar.gamma1.coverage.ci,mar.gamma1.coverage.hdi,psi0.ab.mean.complete,mar.psi0.ab.mean,mar.psi0.ab.mode,psi0.ab.mean,psi0.ab.mode,mar.psi0.coverage.ci,mar.psi0.coverage.hdi,psi0.coverage.ci,psi0.coverage.hdi,psi1.ab.mean.complete,psi1.rb.mean.complete,mar.psi1.ab.mean,mar.psi1.rb.mean,mar.psi1.ab.mode,mar.psi1.rb.mode,psi1.ab.mean,psi1.rb.mean,psi1.ab.mode,psi1.rb.mode,mar.psi1.coverage.ci,mar.psi1.coverage.hdi,psi1.coverage.ci,psi1.coverage.hdi,varx.ab.mean.complete,varx.rb.mean.complete,mar.varx.ab.mean,mar.varx.rb.mean,mar.varx.ab.mode,mar.varx.rb.mode,varx.ab.mean,varx.rb.mean,varx.ab.mode,varx.rb.mode,mar.varx.coverage.ci,mar.varx.coverage.hdi,varx.coverage.ci,varx.coverage.hdi,gamma0x.ab.mean,gamma0x.rb.mean,gamma0x.ab.mode,gamma0x.rb.mode,mar.gamma0x.coverage.ci,mar.gamma0x.coverage.hdi,gamma1x.ab.mean,gamma1x.rb.mean,gamma1x.ab.mode,gamma1x.rb.mode,mar.gamma1x.coverage.ci,mar.gamma1x.coverage.hdi
50,0.13,0.1,0.1,0.1,0.1,0.944,1,0.001640152,0.000336603,-0.139415294,-0.028611742,-0.138348291,-0.028392765,-0.345987814,-0.071005941,-0.337140212,-0.069190177,0.935,0.971,0.893873085,0.937636761,-0.005078814,-0.005078814,-0.054036465,-0.054036465,-0.041731652,-0.041731652,-0.115697613,-0.115697613,-0.116393746,-0.116393746,0.951,0.975,0.946389497,0.972647702,0.011007733,0.011007733,0.022685388,0.022685388,0.025927309,0.025927309,0.006136621,0.006136621,0.009051961,0.009051961,0.949,0.979,0.948577681,0.968271335,0.028482902,0.028482902,-0.001528124,-0.001528124,-0.001316102,-0.001316102,-0.041457071,-0.041457071,-0.03333396,-0.03333396,0.95,0.97,0.932166302,0.960612691,0.039318842,0.004519407,-0.235956417,-0.027121427,-0.968667174,-0.111341054,2.135111896,0.24541516,0.863926809,0.099301932,0.931,0.954,0.899343545,0.9595186,-0.42404598,0.225556373,0.339693073,-0.180687805,0.968271335,0.981400438,-0.946637004,-8.9728626,-0.811991677,-7.69660357,0.70678337,0.742888403,0.000267201,-0.035880041,-0.035828532,-0.017551346,-0.016141819,0.949,0.972,0.980306346,0.986870897,-0.001405455,-0.004684851,-0.01226459,-0.040881965,-0.011785774,-0.039285913,0.006483001,0.021610005,0.00745844,0.024861468,0.971,0.987,0.969365427,0.986870897,-0.000359399,-0.000930447,0.037408489,0.096846828,0.00271411,0.007026559,0.110627783,0.286404242,0.057386252,0.148567254,0.963,0.99,0.907002188,0.98249453,-1.20031482,0.889122089,-0.411500877,0.304815464,0.838074398,0.974835886,-0.13429797,-0.261789416,-0.14680941,-0.286178187,0.925601751,0.969365427
50,0.13,0.2,0.1,0.1,0.1,0.946,1,-0.001313552,-0.000269576,-0.265047784,-0.054394885,-0.265460435,-0.054479572,-0.522310677,-0.107192102,-0.505836121,-0.103811084,0.915,0.947,0.82346723,0.872093023,-0.011746626,-0.011746626,-0.07252462,-0.07252462,-0.065838081,-0.065838081,-0.146392502,-0.146392502,-0.139885783,-0.139885783,0.941,0.97,0.930232558,0.965116279,0.016596021,0.016596021,0.000587419,0.000587419,0.001842618,0.001842618,-0.021327569,-0.021327569,-0.01508823,-0.01508823,0.94,0.978,0.94397463,0.976744186,0.036805478,0.036805478,-0.055797557,-0.055797557,-0.05771918,-0.05771918,-0.127325675,-0.127325675,-0.106884437,-0.106884437,0.954,0.975,0.947145877,0.968287526,0.018658697,0.002144678,-0.328098065,-0.037712421,-1.158021788,-0.133105953,3.57320863,0.410713636,1.582134214,0.181854507,0.921,0.937,0.868921776,0.9397463,-0.448726877,0.317121468,0.291335329,-0.205890692,0.936575053,0.969344609,-0.675635264,-6.404125721,-0.56275958,-5.33421403,0.76744186,0.821353066,-0.000693653,-0.035996233,-0.035659832,-0.018473588,-0.016088061,0.946,0.971,0.973572939,0.990486258,-0.003259014,-0.01086338,-0.012452295,-0.041507651,-0.012332359,-0.041107864,0.005063943,0.016879811,0.005095293,0.016984308,0.971,0.985,0.971458774,0.988372093,0.001213828,0.003142479,0.037532362,0.097167525,0.00285968,0.007403425,0.114253654,0.29579126,0.060070845,0.155517398,0.963,0.991,0.901691332,0.977801268,-1.224334868,0.906914717,-0.414860894,0.307304366,0.839323467,0.976744186,-0.139149756,-0.271247087,-0.109485839,-0.213422688,0.9397463,0.970401691
50,0.13,0.4,0.1,0.1,0.1,0.949,1,-0.006250099,-0.001282687,-0.519401111,-0.106594982,-0.519237895,-0.106561485,-1.11355452,-0.228531132,-1.095276689,-0.224780033,0.858,0.916,0.771797632,0.80409042,-0.010953975,-0.010953975,-0.06046813,-0.06046813,-0.04755039,-0.04755039,-0.224271092,-0.224271092,-0.20206923,-0.20206923,0.952,0.969,0.932185145,0.967707212,0.02213984,0.02213984,-0.018624308,-0.018624308,-0.025782732,-0.025782732,-0.07297981,-0.07297981,-0.062991772,-0.062991772,0.951,0.969,0.949407966,0.97416577,0.027380161,0.027380161,-0.052392673,-0.052392673,-0.052453793,-0.052453793,-0.269453824,-0.269453824,-0.263360184,-0.263360184,0.947,0.976,0.932185145,0.969860065,0.012950091,0.001488516,-0.396308823,-0.045552738,-1.485126911,-0.170704243,7.762713378,0.892265906,3.37393536,0.387808662,0.93,0.94,0.799784715,0.907427341,-0.511527281,0.643430542,0.184092955,-0.231563466,0.921420883,0.951560818,-0.625915823,-5.932851398,-0.488184816,-4.627344229,0.750269107,0.809472551,-0.001073463,-0.036282518,-0.036556802,-0.019518047,-0.017788902,0.945,0.972,0.976318622,0.992465016,-0.000857758,-0.002859192,-0.012465962,-0.041553205,-0.012555908,-0.041853027,0.007867509,0.026225029,0.008545077,0.02848359,0.97,0.987,0.969860065,0.987082885,0.001238418,0.003206139,0.037450396,0.096955322,0.003016662,0.007809837,0.114698135,0.296941976,0.061210743,0.158468478,0.962,0.989,0.8934338,0.978471475,-1.242951919,0.920705125,-0.427726937,0.316834768,0.837459634,0.978471475,-0.138596342,-0.270168308,-0.121020865,-0.235908119,0.938643703,0.972012917
50,0.13,0.1,0.25,0.1,0.1,0.94,1,0.001661388,0.000340961,-0.228989237,-0.046994708,-0.228249219,-0.046842837,-0.349722544,-0.071772407,-0.342539909,-0.070298339,0.919,0.951,0.883870968,0.93655914,-0.007712394,-0.007712394,-0.088287002,-0.088287002,-0.080020002,-0.080020002,-0.143916986,-0.143916986,-0.145309131,-0.145309131,0.939,0.972,0.937634409,0.960215054,0.023875807,0.023875807,-0.033256898,-0.033256898,-0.030400747,-0.030400747,-0.028701862,-0.028701862,-0.023563192,-0.023563192,0.946,0.973,0.941935484,0.964516129,0.028402577,0.028402577,-0.088899521,-0.088899521,-0.090470993,-0.090470993,-0.128781513,-0.128781513,-0.128936113,-0.128936113,0.945,0.971,0.921505376,0.958064516,0.02911251,0.003346266,-0.55326643,-0.063593843,-1.253730665,-0.144106973,1.621530125,0.186382773,0.411664053,0.047317707,0.907,0.928,0.925806452,0.970967742,-0.158495297,0.066316024,0.627511295,-0.262557027,0.961290323,0.97311828,-0.826914782,-4.533524026,-0.683376353,-3.746580885,0.74516129,0.787096774,-0.000317032,-0.03585471,-0.03611479,-0.01756326,-0.015711666,0.949,0.97,0.97311828,0.984946237,-0.000383717,-0.001279058,-0.012109027,-0.040363422,-0.012537998,-0.041793326,0.009257704,0.030859015,0.010356431,0.034521435,0.97,0.99,0.969892473,0.990322581,0.001082758,0.002803151,0.037384917,0.096785804,0.003370249,0.008725237,0.112291612,0.29071173,0.05932776,0.153593623,0.965,0.991,0.905376344,0.978494624,-1.218407831,0.902524319,-0.414203149,0.306817147,0.839784946,0.979569892,-0.115319174,-0.224793712,-0.125887156,-0.245394066,0.927956989,0.969892473
50,0.13,0.2,0.25,0.1,0.1,0.95,1,0.000870773,0.000178706,-0.432527628,-0.088766223,-0.428656428,-0.087971749,-0.589612337,-0.121004201,-0.57316544,-0.117628858,0.844,0.897,0.817894737,0.866315789,-0.010711804,-0.010711804,-0.103508196,-0.103508196,-0.0896487,-0.0896487,-0.181772368,-0.181772368,-0.170346707,-0.170346707,0.94,0.968,0.928421053,0.969473684,0.015845445,0.015845445,-0.044289773,-0.044289773,-0.044389619,-0.044389619,-0.069275725,-0.069275725,-0.055415901,-0.055415901,0.947,0.972,0.937894737,0.974736842,0.02107812,0.02107812,-0.063885272,-0.063885272,-0.054707996,-0.054707996,-0.105220888,-0.105220888,-0.100040583,-0.100040583,0.949,0.966,0.925263158,0.954736842,0.008915721,0.001024796,-0.765705941,-0.088012177,-1.533991607,-0.176320874,2.827658908,0.325018265,1.01559205,0.116734718,0.899,0.915,0.882105263,0.954736842,-0.18231788,0.096771698,0.54727032,-0.290483185,0.944210526,0.962105263,-0.702286712,-3.850256098,-0.584893899,-3.206655148,0.790526316,0.835789474,-0.000609972,-0.036026527,-0.035750095,-0.01946778,-0.017310323,0.949,0.973,0.968421053,0.986315789,-0.00331828,-0.011060934,-0.012729784,-0.042432613,-0.013191051,-0.043970169,0.005039381,0.016797938,0.005407072,0.018023575,0.973,0.984,0.969473684,0.988421053,0.000622469,0.001611511,0.037488529,0.097054044,0.003112245,0.00805729,0.113803372,0.294625524,0.060161171,0.155751242,0.968,0.994,0.895789474,0.977894737,-1.239033127,0.917802317,-0.444994846,0.329625812,0.834736842,0.976842105,-0.152724283,-0.297708154,-0.155716141,-0.303540235,0.921052632,0.96
50,0.13,0.4,0.25,0.1,0.1,0.95,1,0.002534013,0.000520047,-0.868715518,-0.178283629,-0.869128869,-0.178368459,-1.197737989,-0.245807828,-1.168581609,-0.23982416,0.642,0.736,0.772631579,0.8,-0.020939897,-0.020939897,-0.159133241,-0.159133241,-0.146864262,-0.146864262,-0.322123482,-0.322123482,-0.299088763,-0.299088763,0.933,0.964,0.926315789,0.952631579,0.01162071,0.01162071,-0.101500628,-0.101500628,-0.10086216,-0.10086216,-0.273871838,-0.273871838,-0.251471454,-0.251471454,0.943,0.97,0.913684211,0.945263158,0.016406049,0.016406049,-0.117468416,-0.117468416,-0.103592582,-0.103592582,-0.310271608,-0.310271608,-0.27648071,-0.27648071,0.942,0.972,0.921052632,0.953684211,0.012983555,0.001492363,-1.189704231,-0.136747613,-2.173281699,-0.249802494,6.083160576,0.699213859,2.127047071,0.244488169,0.907,0.918,0.843157895,0.94,-0.369400687,0.30706624,0.390459816,-0.32457175,0.935789474,0.962105263,-0.624380847,-3.423140607,-0.475802117,-2.608564239,0.773684211,0.821052632,-0.000145573,-0.036459719,-0.036749496,-0.018608575,-0.015806898,0.949,0.977,0.973684211,0.991578947,-0.003890682,-0.01296894,-0.012579268,-0.041930894,-0.012627176,-0.042090587,0.004007794,0.013359315,0.005971946,0.019906487,0.972,0.984,0.968421053,0.987368421,0.001787525,0.004627724,0.037462445,0.096986514,0.00321319,0.008318628,0.115499319,0.29901616,0.061961017,0.160410864,0.963,0.99,0.894736842,0.972631579,-1.235692128,0.915327502,-0.420893203,0.311772743,0.833684211,0.978947368,-0.130872469,-0.255112025,-0.088488268,-0.17249175,0.944210526,0.964210526
50,0.13,0.1,0.5,0.1,0.1,0.937,1,0.004504568,0.000924458,-0.324149842,-0.066524206,-0.324545032,-0.06660531,-0.375658851,-0.07709523,-0.373275463,-0.076606096,0.886,0.933,0.878335112,0.926360726,-0.014063534,-0.014063534,-0.136017583,-0.136017583,-0.132951815,-0.132951815,-0.166776819,-0.166776819,-0.168776491,-0.168776491,0.937,0.964,0.935965848,0.961579509,0.017336779,0.017336779,-0.101087525,-0.101087525,-0.100629305,-0.100629305,-0.084232179,-0.084232179,-0.080395205,-0.080395205,0.948,0.972,0.935965848,0.966915688,0.021452355,0.021452355,-0.142213637,-0.142213637,-0.139032306,-0.139032306,-0.114701371,-0.114701371,-0.125285496,-0.125285496,0.944,0.967,0.92529349,0.961579509,0.032349726,0.003718359,-1.079659728,-0.124098819,-1.742572197,-0.200295655,0.821431007,0.094417357,-0.27853872,-0.032015945,0.89,0.903,0.946638207,0.986125934,0.604961999,-0.178454867,1.389758934,-0.409958388,0.944503735,0.951974386,-0.831028514,-2.629837069,-0.698248018,-2.209645626,0.774813234,0.822838847,-0.000485971,-0.036079807,-0.036307787,-0.018967686,-0.016596722,0.952,0.975,0.96905016,0.98719317,-0.002605554,-0.00868518,-0.012516327,-0.04172109,-0.013168971,-0.04389657,0.005618202,0.01872734,0.005906506,0.019688353,0.967,0.988,0.967982924,0.990394877,0.00118929,0.003078952,0.037236151,0.096400664,0.002948347,0.007632974,0.112696764,0.291760627,0.058847048,0.152349109,0.965,0.99,0.90715048,0.978655283,-1.215075313,0.900055787,-0.420117381,0.31119806,0.828175027,0.970117396,-0.151982816,-0.2962628,-0.149196544,-0.29083147,0.923159018,0.962646745
50,0.13,0.2,0.5,0.1,0.1,0.957,1,0.001826773,0.000374903,-0.640990957,-0.131548466,-0.64111909,-0.131574762,-0.603571552,-0.123869005,-0.576904576,-0.118396229,0.708,0.79,0.826541275,0.866248694,-0.003333532,-0.003333532,-0.218254169,-0.218254169,-0.214195031,-0.214195031,-0.243992505,-0.243992505,-0.243158127,-0.243158127,0.936,0.962,0.920585162,0.954022989,0.015534282,0.015534282,-0.163567032,-0.163567032,-0.167023747,-0.167023747,-0.113275037,-0.113275037,-0.105309291,-0.105309291,0.938,0.971,0.933124347,0.956112853,0.027732958,0.027732958,-0.225297559,-0.225297559,-0.228402811,-0.228402811,-0.195967417,-0.195967417,-0.1900094,-0.1900094,0.94,0.969,0.921630094,0.946708464,0.032404209,0.003724622,-1.650262221,-0.189685313,-2.337158208,-0.268638875,1.443202725,0.165885371,-0.113441337,-0.013039234,0.821,0.846,0.943573668,0.981191223,0.270556058,-0.097673667,1.06597535,-0.384828646,0.935214211,0.946708464,-0.61711458,-1.952894239,-0.478270387,-1.513513882,0.820271682,0.857889237,0.000200218,-0.035916392,-0.036402693,-0.016641308,-0.015331072,0.947,0.976,0.978056426,0.988505747,-0.00285998,-0.009533268,-0.013432791,-0.044775968,-0.013814137,-0.046047123,0.00615619,0.020520635,0.006550158,0.021833862,0.971,0.986,0.966562173,0.989550679,0.000976444,0.002527917,0.0374058,0.096839868,0.002986243,0.007731083,0.112342078,0.290842381,0.059563673,0.15420438,0.962,0.991,0.900731452,0.975966562,-1.217879289,0.902132807,-0.415102752,0.30748352,0.828631139,0.97492163,-0.120836844,-0.235549403,-0.096528356,-0.188164436,0.931034483,0.96969697
50,0.13,0.4,0.5,0.1,0.1,0.959,1,-0.000294113,-6.04E-05,-1.240635231,-0.254611488,-1.241892488,-0.254869511,-1.140230742,-0.234005805,-1.067537026,-0.219087113,0.322,0.435,0.791449426,0.818561001,-0.005458406,-0.005458406,-0.303992685,-0.303992685,-0.299615977,-0.299615977,-0.358065896,-0.358065896,-0.342484697,-0.342484697,0.929,0.964,0.911366006,0.952033368,0.014457355,0.014457355,-0.260115588,-0.260115588,-0.262133151,-0.262133151,-0.264382473,-0.264382473,-0.251489895,-0.251489895,0.932,0.965,0.898852972,0.944734098,0.027316054,0.027316054,-0.308399682,-0.308399682,-0.299259649,-0.299259649,-0.38346233,-0.38346233,-0.363178267,-0.363178267,0.929,0.957,0.89468196,0.940563087,0.025092499,0.002884195,-2.269961771,-0.260915146,-3.105912027,-0.357001382,3.801215892,0.436921367,0.551404658,0.063379846,0.755,0.768,0.924921794,0.974973931,-0.092214602,0.047557814,0.688785537,-0.355227198,0.934306569,0.946819604,-0.618487258,-1.957238157,-0.501911452,-1.588327381,0.806047967,0.845672576,0.000518847,-0.037007422,-0.037029985,-0.015503095,-0.013440348,0.948,0.973,0.971845673,0.986444213,-0.003870326,-0.012901087,-0.01298731,-0.043291035,-0.013838049,-0.046126829,0.004898988,0.016329962,0.005560033,0.018533444,0.971,0.986,0.966631908,0.987486966,0.001366181,0.003536905,0.037474013,0.097016465,0.002884321,0.007467218,0.115060016,0.297878849,0.061604397,0.159487609,0.963,0.99,0.895724713,0.974973931,-1.242801768,0.920593902,-0.432545307,0.320403931,0.838373306,0.97810219,-0.088787452,-0.173074955,-0.061634756,-0.120145723,0.938477581,0.969760167
50,0.13,0.1,0.1,0.2,0.1,0.951,1,0.00139864,0.000287038,-0.114704818,-0.023540493,-0.11727969,-0.024068925,-0.365020484,-0.074911953,-0.354978306,-0.07285103,0.939,0.966,0.899053628,0.943217666,-0.008363702,-0.008363702,-0.075382307,-0.075382307,-0.055041557,-0.055041557,-0.194848099,-0.194848099,-0.191290027,-0.191290027,0.942,0.975,0.942166141,0.977917981,0.008239324,0.008239324,0.06060712,0.06060712,0.050114244,0.050114244,0.011846604,0.011846604,0.009804525,0.009804525,0.956,0.978,0.94637224,0.968454259,0.01602916,0.01602916,-0.012306518,-0.012306518,0.001216262,0.001216262,-0.139843206,-0.139843206,-0.166095046,-0.166095046,0.944,0.969,0.932702419,0.963196635,0.01811369,0.002082033,-0.313123567,-0.035991215,-1.046912562,-0.120334777,2.107544333,0.242246475,0.841840577,0.096763285,0.924,0.947,0.900105152,0.963196635,-0.405382919,0.215629212,0.383181593,-0.203819996,0.96424816,0.978969506,-0.981489089,-9.303214118,-0.818171785,-7.755182797,0.696109359,0.743427971,-0.00054975,-0.064344846,-0.063944271,-0.022529747,-0.016872178,0.91,0.949,0.952681388,0.973711882,-0.003030688,-0.010102293,-0.017375583,-0.05791861,-0.017204506,-0.057348355,-0.001611696,-0.005372321,0.000161974,0.000539913,0.965,0.985,0.965299685,0.983175605,0.000414183,0.001072278,0.03909912,0.101223704,-0.000213556,-0.000552876,0.165791471,0.429217502,0.08598089,0.222595907,0.968,0.991,0.886435331,0.971608833,-1.049772522,1.183509043,-0.40279694,0.454111544,0.839116719,0.970557308,-0.017682325,-0.034468469,-0.021987165,-0.042859971,0.912723449,0.956887487
